[ALPHA AGE SURFACE]

 position_age  trades   avg_pnl   sum_pnl  avg_weight   cum_pnl  surface
            1    4086  0.000038  0.154121    0.014230  0.154121     LONG
            2     981  0.000112  0.109812    0.047124  0.263933     LONG
            3     292  0.000305  0.089162    0.040612  0.353095     LONG
            4      92  0.000223  0.020534    0.043733  0.373629     LONG
            5      39  0.000089  0.003458    0.043518  0.377086     LONG
            6      12  0.000239  0.002870    0.051339  0.379956     LONG
            7       4 -0.000671 -0.002685    0.047142  0.377271     LONG
            8       2 -0.001004 -0.002007    0.035535  0.375264     LONG
            1    3611  0.000024  0.085404   -0.010202  0.085404    SHORT
            2     716  0.000018  0.013094   -0.049661  0.098497    SHORT
            3     226  0.000089  0.020006   -0.041698  0.118503    SHORT
            0   38040 -0.000002 -0.057419    0.000484 -0.057419 COMBINED
            1    7697  0.000031  0.239525    0.002768  0.182106 COMBINED
            2    2108  0.000067  0.141030    0.001345  0.323136 COMBINED
            3     664  0.000148  0.098476    0.000577  0.421612 COMBINED
            4     231  0.000174  0.040162    0.006085  0.461774 COMBINED
            5     102  0.000049  0.004972    0.017459  0.466746 COMBINED
            6      33  0.000087  0.002870    0.018669  0.469615 COMBINED
            7       9 -0.000243 -0.002185    0.024750  0.467430 COMBINED
            8       4 -0.000502 -0.002007    0.017767  0.465423 COMBINED
