
[ALPHA] quantile curve head
entry_mode  delay_days  quantile  horizon_days  long_mean  short_mean  spread_mean  long_n  short_n
 next_open           0      0.01             1   0.001641         NaN          NaN    1462        0
 next_open           0      0.01             2   0.002570         NaN          NaN    1460        0
 next_open           0      0.01             3   0.004243         NaN          NaN    1458        0
 next_open           0      0.01             4   0.004492         NaN          NaN    1456        0
 next_open           0      0.01             5   0.004166         NaN          NaN    1454        0
 next_open           0      0.02             1   0.001060   -0.000282     0.001343    1586     1450
 next_open           0      0.02             2   0.001696   -0.000142     0.001838    1584     1448
 next_open           0      0.02             3   0.003049   -0.000997     0.004046    1582     1446
 next_open           0      0.02             4   0.003459   -0.000202     0.003661    1580     1444
 next_open           0      0.02             5   0.003734    0.001314     0.002420    1578     1442
 next_open           0      0.05             1   0.001003   -0.000561     0.001564    3870     3110
 next_open           0      0.05             2   0.002075   -0.000888     0.002963    3865     3106
 next_open           0      0.05             3   0.003069   -0.002228     0.005296    3860     3102
 next_open           0      0.05             4   0.003421   -0.002277     0.005698    3855     3098
 next_open           0      0.05             5   0.003433   -0.001089     0.004522    3850     3094
 next_open           0      0.10             1   0.000807   -0.000294     0.001101    7740     6966
 next_open           0      0.10             2   0.001807   -0.000502     0.002310    7730     6957
 next_open           0      0.10             3   0.002896   -0.001017     0.003912    7720     6948
 next_open           0      0.10             4   0.003346   -0.000425     0.003771    7710     6939
 next_open           0      0.10             5   0.003451    0.000410     0.003041    7700     6930
 next_open           0      0.20             1   0.000595    0.000023     0.000572   15480    14706
 next_open           0      0.20             2   0.001489    0.000268     0.001221   15460    14687
 next_open           0      0.20             3   0.002460    0.000479     0.001981   15440    14668
 next_open           0      0.20             4   0.002996    0.001338     0.001657   15420    14649
 next_open           0      0.20             5   0.003255    0.002189     0.001066   15400    14630
 next_open           1      0.01             1   0.000573         NaN          NaN    1460        0
 next_open           1      0.01             2   0.002086         NaN          NaN    1458        0
 next_open           1      0.01             3   0.002519         NaN          NaN    1456        0
 next_open           1      0.01             4   0.002357         NaN          NaN    1454        0
 next_open           1      0.01             5   0.001887         NaN          NaN    1452        0
 next_open           1      0.02             1   0.000334   -0.000217     0.000551    1584     1448
 next_open           1      0.02             2   0.001520   -0.000850     0.002370    1582     1446
 next_open           1      0.02             3   0.002059   -0.000108     0.002167    1580     1444
 next_open           1      0.02             4   0.002512    0.001316     0.001197    1578     1442
 next_open           1      0.02             5   0.001877    0.001151     0.000726    1576     1440
 next_open           1      0.05             1   0.000586   -0.000543     0.001129    3865     3106
 next_open           1      0.05             2   0.001487   -0.001826     0.003313    3860     3102
 next_open           1      0.05             3   0.001875   -0.001918     0.003793    3855     3098
 next_open           1      0.05             4   0.002032   -0.000730     0.002761    3850     3094
 next_open           1      0.05             5   0.001952   -0.000471     0.002423    3845     3090

[ALPHA] decile curve
entry_mode  delay_days  horizon_days  decile  mean_ret  n_obs
 next_open           0             1       1 -0.000264   7740
 next_open           0             1       2  0.000275   7740
 next_open           0             1       3  0.000232   6966
 next_open           0             1       4  0.000176   7740
 next_open           0             1       5  0.000225   7740
 next_open           0             1       6  0.000388   6966
 next_open           0             1       7  0.000354   7740
 next_open           0             1       8  0.000466   6966
 next_open           0             1       9  0.000383   7740
 next_open           0             1      10  0.000807   7740
 next_open           0             2       1 -0.000388   7730
 next_open           0             2       2  0.000845   7730
 next_open           0             2       3  0.000877   6957
 next_open           0             2       4  0.000730   7730
 next_open           0             2       5  0.000939   7730
 next_open           0             2       6  0.001237   6957
 next_open           0             2       7  0.001008   7730
 next_open           0             2       8  0.001143   6957
 next_open           0             2       9  0.001171   7730
 next_open           0             2      10  0.001807   7730
 next_open           0             3       1 -0.000785   7720
 next_open           0             3       2  0.001722   7720
 next_open           0             3       3  0.001237   6948
 next_open           0             3       4  0.001587   7720
 next_open           0             3       5  0.001687   7720
 next_open           0             3       6  0.001850   6948
 next_open           0             3       7  0.001665   7720
 next_open           0             3       8  0.002157   6948
 next_open           0             3       9  0.002025   7720
 next_open           0             3      10  0.002896   7720
 next_open           0             4       1 -0.000140   7710
 next_open           0             4       2  0.002755   7710
 next_open           0             4       3  0.002042   6939
 next_open           0             4       4  0.002290   7710
 next_open           0             4       5  0.002073   7710
 next_open           0             4       6  0.002206   6939
 next_open           0             4       7  0.002473   7710
 next_open           0             4       8  0.002800   6939
 next_open           0             4       9  0.002646   7710
 next_open           0             4      10  0.003346   7710
 next_open           0             5       1  0.000758   7700
 next_open           0             5       2  0.003570   7700
 next_open           0             5       3  0.002846   6930
 next_open           0             5       4  0.003260   7700
 next_open           0             5       5  0.002481   7700
 next_open           0             5       6  0.002862   6930
 next_open           0             5       7  0.003097   7700
 next_open           0             5       8  0.003292   6930
 next_open           0             5       9  0.003058   7700
 next_open           0             5      10  0.003451   7700
 next_open           1             1       1 -0.000258   7730
 next_open           1             1       2  0.000171   7730
 next_open           1             1       3  0.000346   6957
 next_open           1             1       4  0.000228   7730
 next_open           1             1       5  0.000313   7730
 next_open           1             1       6  0.000418   6957
 next_open           1             1       7  0.000488   7730
 next_open           1             1       8  0.000453   6957
 next_open           1             1       9  0.000293   7730
 next_open           1             1      10  0.000558   7730
 next_open           1             2       1 -0.000642   7720
 next_open           1             2       2  0.001019   7720
 next_open           1             2       3  0.000698   6948
 next_open           1             2       4  0.001068   7720
 next_open           1             2       5  0.001046   7720
 next_open           1             2       6  0.001006   6948
 next_open           1             2       7  0.001144   7720
 next_open           1             2       8  0.001420   6948
 next_open           1             2       9  0.001125   7720
 next_open           1             2      10  0.001582   7720
 next_open           1             3       1 -0.000012   7710
 next_open           1             3       2  0.002047   7710
 next_open           1             3       3  0.001498   6939
 next_open           1             3       4  0.001761   7710
 next_open           1             3       5  0.001445   7710
 next_open           1             3       6  0.001370   6939
 next_open           1             3       7  0.001969   7710
 next_open           1             3       8  0.002079   6939
 next_open           1             3       9  0.001760   7710
 next_open           1             3      10  0.002065   7710
 next_open           1             4       1  0.000885   7700
 next_open           1             4       2  0.002870   7700
 next_open           1             4       3  0.002308   6930
 next_open           1             4       4  0.002747   7700
 next_open           1             4       5  0.001857   7700
 next_open           1             4       6  0.002037   6930
 next_open           1             4       7  0.002618   7700
 next_open           1             4       8  0.002571   6930
 next_open           1             4       9  0.002188   7700
 next_open           1             4      10  0.002254   7700
 next_open           1             5       1  0.001518   7690
 next_open           1             5       2  0.003812   7690
 next_open           1             5       3  0.002972   6921
 next_open           1             5       4  0.003356   7690
 next_open           1             5       5  0.002237   7690
 next_open           1             5       6  0.002637   6921
 next_open           1             5       7  0.003319   7690
 next_open           1             5       8  0.003158   6921
 next_open           1             5       9  0.002800   7690
 next_open           1             5      10  0.002618   7690
 next_open           2             1       1 -0.000405   7720
 next_open           2             1       2  0.000376   7720
 next_open           2             1       3  0.000101   6948
 next_open           2             1       4  0.000478   7720
 next_open           2             1       5  0.000394   7720
 next_open           2             1       6  0.000256   6948
 next_open           2             1       7  0.000331   7720
 next_open           2             1       8  0.000553   6948
 next_open           2             1       9  0.000434   7720
 next_open           2             1      10  0.000534   7720
 next_open           2             2       1  0.000165   7710
 next_open           2             2       2  0.001331   7710
 next_open           2             2       3  0.000892   6939
 next_open           2             2       4  0.001162   7710
 next_open           2             2       5  0.000770   7710
 next_open           2             2       6  0.000584   6939
 next_open           2             2       7  0.001149   7710
 next_open           2             2       8  0.001186   6939
 next_open           2             2       9  0.001054   7710
 next_open           2             2      10  0.001059   7710
 next_open           2             3       1  0.001014   7700
 next_open           2             3       2  0.002190   7700
 next_open           2             3       3  0.001707   6930
 next_open           2             3       4  0.002161   7700
 next_open           2             3       5  0.001194   7700
 next_open           2             3       6  0.001265   6930
 next_open           2             3       7  0.001803   7700
 next_open           2             3       8  0.001682   6930
 next_open           2             3       9  0.001487   7700
 next_open           2             3      10  0.001274   7700
 next_open           2             4       1  0.001706   7690
 next_open           2             4       2  0.003150   7690
 next_open           2             4       3  0.002388   6921
 next_open           2             4       4  0.002784   7690
 next_open           2             4       5  0.001576   7690
 next_open           2             4       6  0.001871   6921
 next_open           2             4       7  0.002501   7690
 next_open           2             4       8  0.002276   6921
 next_open           2             4       9  0.002119   7690
 next_open           2             4      10  0.001669   7690
 next_open           2             5       1  0.002612   7680
 next_open           2             5       2  0.003784   7680
 next_open           2             5       3  0.003021   6912
 next_open           2             5       4  0.003511   7680
 next_open           2             5       5  0.002131   7680
 next_open           2             5       6  0.002128   6912
 next_open           2             5       7  0.003218   7680
 next_open           2             5       8  0.002969   6912
 next_open           2             5       9  0.002677   7680
 next_open           2             5      10  0.002205   7680
next_close           0             1       1  0.000000   7740
next_close           0             1       2  0.000000   7740
next_close           0             1       3  0.000000   6966
next_close           0             1       4  0.000000   7740
next_close           0             1       5  0.000000   7740
next_close           0             1       6  0.000000   6966
next_close           0             1       7  0.000000   7740
next_close           0             1       8  0.000000   6966
next_close           0             1       9  0.000000   7740
next_close           0             1      10  0.000000   7740
next_close           0             2       1 -0.000063   7730
next_close           0             2       2  0.000586   7730
next_close           0             2       3  0.000650   6957
next_close           0             2       4  0.000572   7730
next_close           0             2       5  0.000729   7730
next_close           0             2       6  0.000866   6957
next_close           0             2       7  0.000666   7730
next_close           0             2       8  0.000696   6957
next_close           0             2       9  0.000805   7730
next_close           0             2      10  0.001012   7730
next_close           0             3       1 -0.000440   7720
next_close           0             3       2  0.001447   7720
next_close           0             3       3  0.001009   6948
next_close           0             3       4  0.001425   7720
next_close           0             3       5  0.001480   7720
next_close           0             3       6  0.001471   6948
next_close           0             3       7  0.001318   7720
next_close           0             3       8  0.001697   6948
next_close           0             3       9  0.001648   7720
next_close           0             3      10  0.002071   7720
next_close           0             4       1  0.000208   7710
next_close           0             4       2  0.002481   7710
next_close           0             4       3  0.001813   6939
next_close           0             4       4  0.002128   7710
next_close           0             4       5  0.001874   7710
next_close           0             4       6  0.001839   6939
next_close           0             4       7  0.002144   7710
next_close           0             4       8  0.002353   6939
next_close           0             4       9  0.002282   7710
next_close           0             4      10  0.002540   7710
next_close           0             5       1  0.001127   7700
next_close           0             5       2  0.003298   7700
next_close           0             5       3  0.002623   6930
next_close           0             5       4  0.003106   7700
next_close           0             5       5  0.002280   7700
next_close           0             5       6  0.002502   6930
next_close           0             5       7  0.002783   7700
next_close           0             5       8  0.002857   6930
next_close           0             5       9  0.002705   7700
