[FACTOR IC]
        factor horizon        ic
           liq  fwd_5d  0.033993
           liq  fwd_3d  0.025829
           liq  fwd_2d  0.022811
           liq  fwd_1d  0.016545
          rev1  fwd_1d  0.012609
          rev3  fwd_2d  0.008906
          rev1  fwd_2d  0.007799
           gap  fwd_3d  0.007749
          rev1  fwd_5d  0.007641
          rev3  fwd_5d  0.007531
           gap  fwd_2d  0.007293
          rev3  fwd_1d  0.007122
          rev3  fwd_3d  0.007020
          rev1  fwd_3d  0.006425
         range  fwd_5d  0.006329
         range  fwd_3d  0.003323
         range  fwd_2d  0.002178
     range_vol  fwd_5d -0.000233
           gap  fwd_5d -0.000364
     range_vol  fwd_3d -0.000673
     range_vol  fwd_2d -0.000898
      dist_ema  fwd_2d -0.003909
          mom5  fwd_2d -0.003930
         accel  fwd_3d -0.003986
turnover_shock  fwd_2d -0.004060
    rel_volume  fwd_2d -0.004104
    rel_volume  fwd_3d -0.004450
           gap  fwd_1d -0.004835
turnover_shock  fwd_3d -0.004985
      vol_comp  fwd_2d -0.005101
    range_norm  fwd_2d -0.005274
      dist_ema  fwd_1d -0.005300
      dist_ema  fwd_5d -0.005508
         accel  fwd_2d -0.005623
      dist_ema  fwd_3d -0.005735
         accel  fwd_5d -0.005905
         range  fwd_1d -0.005963
    rel_volume  fwd_5d -0.006259
          mom5  fwd_3d -0.006632
      vol_comp  fwd_3d -0.006737
         mom10  fwd_1d -0.006810
turnover_shock  fwd_5d -0.006898
          mom3  fwd_1d -0.006969
          mom3  fwd_3d -0.007162
      vol_comp  fwd_5d -0.007200
          mom3  fwd_5d -0.007415
    range_norm  fwd_3d -0.007520
          mom5  fwd_1d -0.007539
turnover_shock  fwd_1d -0.008589
    range_norm  fwd_1d -0.008708
          mom5  fwd_5d -0.008987
    rel_volume  fwd_1d -0.009038
          mom3  fwd_2d -0.009087
         mom10  fwd_2d -0.009148
    range_norm  fwd_5d -0.009343
         accel  fwd_1d -0.009656
     range_vol  fwd_1d -0.009967
      vol_comp  fwd_1d -0.010962
         mom10  fwd_3d -0.012211
         mom10  fwd_5d -0.016722
