factor,horizon,ic,n_days,abs_ic
dollar_vol,fwd_5d,0.03399333770016022,786,0.03399333770016022
liq,fwd_5d,0.03399333770016022,786,0.03399333770016022
cs_liq_z,fwd_5d,0.03399333770016022,786,0.03399333770016022
dollar_vol,fwd_3d,0.025829015301978637,788,0.025829015301978637
liq,fwd_3d,0.025829015301978637,788,0.025829015301978637
cs_liq_z,fwd_3d,0.025829015301978637,788,0.025829015301978637
amihud_proxy,fwd_5d,-0.02468476242821921,785,0.02468476242821921
dollar_vol,fwd_2d,0.02281092206706721,789,0.02281092206706721
liq,fwd_2d,0.02281092206706721,789,0.02281092206706721
cs_liq_z,fwd_2d,0.02281092206706721,789,0.02281092206706721
vol_spike_5_20,fwd_5d,-0.019459201359826366,776,0.019459201359826366
cs_volshock_z,fwd_5d,-0.01945920135982636,786,0.01945920135982636
amihud_proxy,fwd_3d,-0.018165485804602182,787,0.018165485804602182
ema_stack_20_50,fwd_5d,0.018160850344264973,772,0.018160850344264973
wick_imbalance,fwd_1d,-0.018045501331887644,790,0.018045501331887644
range_comp_5_20,fwd_5d,-0.016914081736601746,777,0.016914081736601746
ret10,fwd_5d,-0.016721903422871456,776,0.016721903422871456
mom10,fwd_5d,-0.016721903422871456,776,0.016721903422871456
dollar_vol,fwd_1d,0.016545150042344504,790,0.016545150042344504
liq,fwd_1d,0.016545150042344504,790,0.016545150042344504
cs_liq_z,fwd_1d,0.016545150042344504,790,0.016545150042344504
vol_comp_5_40,fwd_5d,-0.01631342878959555,771,0.01631342878959555
amihud_proxy,fwd_2d,-0.015277251437168099,788,0.015277251437168099
rev1_x_vol,fwd_1d,0.015217769705181374,781,0.015217769705181374
vol_spike_5_20,fwd_3d,-0.014956959538096554,778,0.014956959538096554
cs_volshock_z,fwd_3d,-0.014956959538096554,788,0.014956959538096554
vol20,fwd_5d,0.01441155239259094,776,0.01441155239259094
ema_slope_20,fwd_1d,-0.014138654676569681,783,0.014138654676569681
dist_low_60,fwd_5d,0.014132613712958538,767,0.014132613712958538
range_comp_5_20,fwd_3d,-0.014120988890589903,779,0.014120988890589903
ema_stack_20_50,fwd_3d,0.014106689047533158,774,0.014106689047533158
vol_comp_5_40,fwd_3d,-0.014055376745581286,773,0.014055376745581286
wick_imbalance,fwd_3d,-0.01399189093668073,788,0.01399189093668073
amihud_proxy,fwd_1d,-0.013733360378067327,789,0.013733360378067327
position_in_60d_range,fwd_5d,0.013673383368422939,767,0.013673383368422939
wick_imbalance,fwd_2d,-0.013660097045327326,789,0.013660097045327326
upper_wick,fwd_1d,-0.013527679514732173,790,0.013527679514732173
rev1_x_volcomp,fwd_1d,0.01291979608249276,780,0.01291979608249276
high_close_ret,fwd_1d,-0.012877577184434615,789,0.012877577184434615
body_vol,fwd_3d,-0.012817677063992651,779,0.012817677063992651
ema_slope_10,fwd_1d,-0.0127320374633924,786,0.0127320374633924
cs_ret_z,fwd_1d,-0.012608536211113965,790,0.012608536211113965
rev1,fwd_1d,0.012608536211113963,789,0.012608536211113963
cs_rev1_rank,fwd_1d,0.012608536211113963,789,0.012608536211113963
ret1,fwd_1d,-0.012608536211113963,789,0.012608536211113963
body_vol,fwd_2d,-0.012379686804624352,780,0.012379686804624352
ret_autocorr_10,fwd_5d,0.012303531049698552,777,0.012303531049698552
vol_spike_5_20,fwd_2d,-0.012263290455285675,779,0.012263290455285675
cs_volshock_z,fwd_2d,-0.012263290455285675,789,0.012263290455285675
ema_stack_20_50,fwd_2d,0.012258771781214881,775,0.012258771781214881
ret10,fwd_3d,-0.012211145355247914,778,0.012211145355247914
mom10,fwd_3d,-0.012211145355247914,778,0.012211145355247914
high_close_ret,fwd_2d,-0.0122047038393122,788,0.0122047038393122
lower_wick,fwd_5d,0.012155746492546223,786,0.012155746492546223
ema_slope_20,fwd_5d,-0.012104093714758242,779,0.012104093714758242
dist_high_20,fwd_5d,-0.012012438766202787,777,0.012012438766202787
vol10,fwd_5d,0.0119889816419121,781,0.0119889816419121
mom3_x_vol,fwd_2d,-0.011890849409962663,780,0.011890849409962663
dist_low_20,fwd_5d,0.01167259364488228,777,0.01167259364488228
close_low_ret,fwd_1d,-0.011623852187211852,789,0.011623852187211852
vol_spike_5_20,fwd_1d,-0.01154057203515967,780,0.01154057203515967
cs_volshock_z,fwd_1d,-0.01154057203515967,790,0.01154057203515967
wick_imbalance,fwd_5d,-0.011304215503029413,786,0.011304215503029413
dist_high_20,fwd_3d,-0.011151779422150886,779,0.011151779422150886
accel_10_5,fwd_5d,-0.011124771433982083,776,0.011124771433982083
lower_wick,fwd_3d,0.011079894138901468,788,0.011079894138901468
vol_persist_3,fwd_1d,-0.011079585124798508,780,0.011079585124798508
vol_comp_10_20,fwd_1d,-0.01099536675884574,780,0.01099536675884574
open_close_ret,fwd_3d,-0.010913183233712681,788,0.010913183233712681
body,fwd_3d,-0.010911590101278233,788,0.010911590101278233
intraday_reversal_pressure,fwd_3d,0.010910121619176094,788,0.010910121619176094
rel_volume_60,fwd_1d,-0.01082438753075824,771,0.01082438753075824
amihud_shock,fwd_5d,-0.010748040840665189,776,0.010748040840665189
amihud_imbalance,fwd_5d,-0.010748040840665189,776,0.010748040840665189
ema_slope_10,fwd_5d,-0.010707344717013423,782,0.010707344717013423
mom3_x_vol,fwd_5d,-0.010625543652006504,777,0.010625543652006504
rev1_x_vol,fwd_2d,0.010618269261725044,780,0.010618269261725044
body_vol,fwd_1d,-0.01060430703632866,781,0.01060430703632866
mom3_x_volcomp,fwd_2d,-0.010532739941944532,779,0.010532739941944532
dist_high_20,fwd_2d,-0.010404356719191309,780,0.010404356719191309
exhaustion_up,fwd_5d,-0.010385801439311143,777,0.010385801439311143
mom3_x_volcomp,fwd_5d,-0.01037921093570516,776,0.01037921093570516
ret_autocorr_20,fwd_5d,0.010316987786134648,767,0.010316987786134648
vol_comp_5_40,fwd_1d,-0.01030339186993737,775,0.01030339186993737
vol_comp_5_40,fwd_2d,-0.010295637408056831,774,0.010295637408056831
ret_autocorr_20,fwd_3d,0.01028454590992832,769,0.01028454590992832
exhaustion_up,fwd_3d,-0.010258372266859217,779,0.010258372266859217
position_in_60d_range,fwd_3d,0.010223107417658785,769,0.010223107417658785
gap_fill_pressure,fwd_1d,0.010166475960753164,789,0.010166475960753164
pressure_x_relvol,fwd_1d,-0.010157283216101765,781,0.010157283216101765
vol_persist_5,fwd_1d,-0.010089777248549809,779,0.010089777248549809
vol_persist_3,fwd_5d,-0.010074194837367866,776,0.010074194837367866
position_in_60d_range,fwd_2d,0.009931247833554199,770,0.009931247833554199
exhaustion_up,fwd_2d,-0.009921014049642043,780,0.009921014049642043
vol_persist_5,fwd_5d,-0.009883284153635406,775,0.009883284153635406
open_close_ret,fwd_2d,-0.009827154655807233,789,0.009827154655807233
body,fwd_2d,-0.00982496295804832,789,0.00982496295804832
intraday_reversal_pressure,fwd_2d,0.00982351300328691,789,0.00982351300328691
vol40,fwd_5d,0.009797615591140025,771,0.009797615591140025
mom3_x_vol,fwd_3d,-0.009762384162948065,779,0.009762384162948065
rev1_x_vol,fwd_5d,0.009712153540668796,777,0.009712153540668796
vol_persist_5,fwd_3d,-0.009497631981664029,777,0.009497631981664029
ema_slope_20,fwd_3d,-0.009438378683613139,781,0.009438378683613139
vol20,fwd_3d,0.009437757865086799,778,0.009437757865086799
rel_volume_20,fwd_1d,-0.009321851102367287,781,0.009321851102367287
liq_imbalance,fwd_1d,-0.009321851102367287,781,0.009321851102367287
cs_relvol_z,fwd_1d,-0.009321851102367286,790,0.009321851102367286
mom3_x_vol,fwd_1d,-0.009311105564141747,781,0.009311105564141747
gap_fill_pressure,fwd_3d,0.009261071548681032,787,0.009261071548681032
rev1_x_volcomp,fwd_5d,0.009244012156419672,776,0.009244012156419672
mom3_x_volcomp,fwd_3d,-0.009202926255024692,778,0.009202926255024692
dist_low_60,fwd_3d,0.009155120551350957,769,0.009155120551350957
ret10,fwd_2d,-0.009148005015912581,779,0.009148005015912581
mom10,fwd_2d,-0.009148005015912581,779,0.009148005015912581
ema_slope_20,fwd_2d,-0.009146142202546675,782,0.009146142202546675
pressure_x_relvol,fwd_2d,-0.009102971828355715,780,0.009102971828355715
ret3,fwd_2d,-0.009086878787628296,786,0.009086878787628296
mom3,fwd_2d,-0.009086878787628296,786,0.009086878787628296
range_x_volcomp,fwd_1d,-0.009054336097266106,780,0.009054336097266106
dist_low_60,fwd_2d,0.009048803476708627,770,0.009048803476708627
