[ARTIFACT] artifacts\regime_interaction_scan\regime_variant_ic_table.csv

factor,factor_col,regime,regime_col,variant,feature_name,horizon,ic,abs_ic,n_days,dates_total,dates_too_small,dates_const_factor,dates_const_target,dates_ok
rev1,ret_1d_simple,cs_liq_z,z_liq,raw,rg__rev1__raw,target_fwd_ret_1d,-0.012617371188897475,0.012617371188897475,789,791,2,0,0,789
rev1,ret_1d_simple,cs_liq_z,z_liq,high,rg__rev1__in__cs_liq_z__high,target_fwd_ret_1d,-0.008980487994466189,0.008980487994466189,789,791,2,0,0,789
rev1,ret_1d_simple,cs_liq_z,z_liq,low,rg__rev1__in__cs_liq_z__low,target_fwd_ret_1d,-0.013808933236707831,0.013808933236707831,789,791,2,0,0,789
rev1,ret_1d_simple,cs_liq_z,z_liq,rank,rg__rev1__x__rank__cs_liq_z,target_fwd_ret_1d,0.0024748451138362566,0.0024748451138362566,789,791,2,0,0,789
rev1,ret_1d_simple,cs_liq_z,z_liq,z,rg__rev1__x__z__cs_liq_z,target_fwd_ret_1d,0.0022649159735296997,0.0022649159735296997,789,791,2,0,0,789
rev1,ret_1d_simple,cs_liq_z,z_liq,raw,rg__rev1__raw,target_fwd_ret_2d,-0.0078067250490634465,0.0078067250490634465,788,791,3,0,0,788
rev1,ret_1d_simple,cs_liq_z,z_liq,high,rg__rev1__in__cs_liq_z__high,target_fwd_ret_2d,-0.008694712089470103,0.008694712089470103,788,791,3,0,0,788
rev1,ret_1d_simple,cs_liq_z,z_liq,low,rg__rev1__in__cs_liq_z__low,target_fwd_ret_2d,-0.005673779859608092,0.005673779859608092,788,791,3,0,0,788
rev1,ret_1d_simple,cs_liq_z,z_liq,rank,rg__rev1__x__rank__cs_liq_z,target_fwd_ret_2d,-0.001378830195269752,0.001378830195269752,788,791,3,0,0,788
rev1,ret_1d_simple,cs_liq_z,z_liq,z,rg__rev1__x__z__cs_liq_z,target_fwd_ret_2d,-0.0018719202253534848,0.0018719202253534848,788,791,3,0,0,788
rev1,ret_1d_simple,cs_liq_z,z_liq,raw,rg__rev1__raw,target_fwd_ret_3d,-0.006425858675903093,0.006425858675903093,787,791,4,0,0,787
rev1,ret_1d_simple,cs_liq_z,z_liq,high,rg__rev1__in__cs_liq_z__high,target_fwd_ret_3d,-0.005324281837643706,0.005324281837643706,787,791,4,0,0,787
rev1,ret_1d_simple,cs_liq_z,z_liq,low,rg__rev1__in__cs_liq_z__low,target_fwd_ret_3d,-0.0074552527761842955,0.0074552527761842955,787,791,4,0,0,787
rev1,ret_1d_simple,cs_liq_z,z_liq,rank,rg__rev1__x__rank__cs_liq_z,target_fwd_ret_3d,0.003281097141378805,0.003281097141378805,787,791,4,0,0,787
rev1,ret_1d_simple,cs_liq_z,z_liq,z,rg__rev1__x__z__cs_liq_z,target_fwd_ret_3d,0.0027710185034805768,0.0027710185034805768,787,791,4,0,0,787
rev1,ret_1d_simple,cs_liq_z,z_liq,raw,rg__rev1__raw,target_fwd_ret_5d,-0.007651341578268064,0.007651341578268064,785,791,6,0,0,785
rev1,ret_1d_simple,cs_liq_z,z_liq,high,rg__rev1__in__cs_liq_z__high,target_fwd_ret_5d,-0.010685460112873937,0.010685460112873937,785,791,6,0,0,785
rev1,ret_1d_simple,cs_liq_z,z_liq,low,rg__rev1__in__cs_liq_z__low,target_fwd_ret_5d,-0.0016087309644514712,0.0016087309644514712,785,791,6,0,0,785
rev1,ret_1d_simple,cs_liq_z,z_liq,rank,rg__rev1__x__rank__cs_liq_z,target_fwd_ret_5d,-0.005388872933413116,0.005388872933413116,785,791,6,0,0,785
rev1,ret_1d_simple,cs_liq_z,z_liq,z,rg__rev1__x__z__cs_liq_z,target_fwd_ret_5d,-0.005459005158923499,0.005459005158923499,785,791,6,0,0,785
rev1,ret_1d_simple,rel_volume_20,rel_volume_20,raw,rg__rev1__raw,target_fwd_ret_1d,-0.012617371188897475,0.012617371188897475,789,791,2,0,0,789
rev1,ret_1d_simple,rel_volume_20,rel_volume_20,high,rg__rev1__in__rel_volume_20__high,target_fwd_ret_1d,-0.021131549909406792,0.021131549909406792,781,791,2,8,0,781
rev1,ret_1d_simple,rel_volume_20,rel_volume_20,low,rg__rev1__in__rel_volume_20__low,target_fwd_ret_1d,0.0025116637903576096,0.0025116637903576096,781,791,2,8,0,781
rev1,ret_1d_simple,rel_volume_20,rel_volume_20,rank,rg__rev1__x__rank__rel_volume_20,target_fwd_ret_1d,-0.01714266609885737,0.01714266609885737,781,791,10,0,0,781
rev1,ret_1d_simple,rel_volume_20,rel_volume_20,z,rg__rev1__x__z__rel_volume_20,target_fwd_ret_1d,-0.018348935149478943,0.018348935149478943,781,791,10,0,0,781
